																															Class	blanl	P1-1	P1-2	P2-1	P2-1	P3-1	P3-2	A-D1-1	A-D1-2	A-D2-1	A-D2-2	B-D1-1	B-D1-2	B-D2-1	B-D2-2	C-D1-1	C-D1-2	C-D2-1	C-D2-2	NC1-D1	NC1-D2	NC2-D1	NC2-D2	NC3-D1	NC3-D2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	15.985	101.07792	Unknown	[M+H]+		0.16	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	12.65	blank_post	101.06857:9489 102.07192:424 103.07528:78	101.07954:278	9489	10704	10491	10574	10170	11192	9970	11587	11606	11136	10757	11578	11886	11511	10561	11136	11166	12159	10898	11428	10665	11781	10941	10787	10560	9488.75	10703.5	10491.0625	10371.9375	11191.5625	9970.1875	11586.875	11606.3125	11135.9375	10756.875	11578.5	11886.1875	11511.1875	10561.3125	11136.1875	11165.8125	12158.625	10897.875	11427.625	10664.75	11781.4375	10941.1875	10787	10560.3125	0	0	0	286.024692989958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.629	101.07804	Unknown	[M+H]+		0.08	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8.67	S09	101.07804:6752 102.08139:1163 103.08475:162		5301	5530	5926	5947	5725	6120	5938	6761	6721	6527	6209	6528	6645	6360	6423	6865	6568	5991	6144	6631	6130	6752	5974	6060	5990	5301.25	5530	5926.4375	5836.0625	6120.1875	5937.5625	6761.125	6721.3125	6527.375	6208.8125	6527.6875	6645.125	6359.625	6423.375	6865.0625	6567.5	5991.3125	6143.9375	6631.1875	6129.9375	6751.9375	5974	6060.1875	5990.4375	0	0	0	156.977705423414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	6.827	101.07827	Unknown	[M+H]+	similar chromatogram in higher mz_205; similar chromatogram in higher mz_227; similar chromatogram in higher mz_334	0.08	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.96	S01_2	101.07827:5502 102.08162:567 103.08498:84		3952	4466	4293	4628	4393	4433	4969	4830	5502	5111	4516	4958	4871	5315	5021	5251	4698	4933	4877	4642	4674	4568	4620	4713	4401	3952.1875	4465.5625	4293.1875	4510.625	4432.5625	4969.3125	4829.5625	5501.9375	5110.5625	4516.375	4958.3125	4870.9375	5314.5625	5020.625	5251.25	4697.875	4932.625	4876.75	4642.0625	4674.1875	4568	4619.9375	4713.0625	4400.75	0	0	0	166.346870274135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	6.667	101.07962	Unknown	[M+H]+		0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.8	S01_2	101.07962:5379 102.08297:530 103.08633:72		3634	4221	4229	4076	4121	4048	4540	4625	5379	4731	4642	4715	4849	5463	4812	5036	4455	4940	4583	4349	4638	4364	3916	4282	3920	3634.0625	4221.1875	4228.875	4098.9375	4048.0625	4540.3125	4625.4375	5378.8125	4730.875	4641.875	4714.5625	4849	5462.8125	4812.25	5035.6875	4454.75	4939.75	4583.125	4348.6875	4638	4363.9375	3915.6875	4282.5	3920	0	0	0	31.7314168057463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0.547	101.08204	Unknown	[M+H]+		0.36	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	63.28	S01_2	101.08094:23404 102.08429:3298 103.08765:180	101.0778:270	4933	5631	5757	5294	5394	5635	5913	25110	23404	10357	4790	26270	25536	10586	5978	24318	23552	4676	4894	26547	5200	27650	5336	25116	5771	4933	5631.0625	5756.8125	5344.3125	5635.375	5913.125	25110.4375	23404.375	10356.625	4790	26269.875	25535.6875	10585.625	5978.25	24317.625	23552.25	4675.8125	4894	26546.875	5200.125	27650.3125	5336.3125	25115.5625	5771.25	0	0	0	70.7106781186548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	9.965	101.88076	Unknown	[M+H]+	ion correlated with 12	0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	115.29	S02	101.88076:1849 102.88411:7826 103.88747:5546		4	6	3	3	4	0	3	424	674	1849	1001	107	80	243	165	26	13	31	22	6	3	3	5	3	3	4.5	6	3	3.375	0	3	423.6875	673.625	1849.0625	1001.0625	106.875	80.25	243.25	164.625	26.25	12.75	31.125	22.5	6	3	3	5.25	3	3	0	0	0	0.530330085889911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	9.914	101.89747	Unknown	[M+H]+	ion correlated with 26; ion correlated with 41; ion correlated with 24; ion correlated with 28; ion correlated with 62; ion correlated with 27; ion correlated with 60	0.12	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	90	S02_2	101.89747:1857 102.90082:6416 103.90418:5329		3	0	0	4	3	0	3	1096	1052	2521	1857	278	332	349	343	39	29	42	34	4	4	3	3	3	9	3	0	0	3.375	0	3	1096.1875	1052.375	2521.1875	1857.0625	278.4375	332.25	349.25	342.75	39	28.875	42.375	33.75	3.75	4.5	3	3	3	9.375	0	0	0	0.530330085889911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	9.925	101.95989	Unknown	[M+H]+	ion correlated with 29; ion correlated with 23; ion correlated with 34; ion correlated with 31; ion correlated with 21; ion correlated with 32	0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	105.1	S01_2	101.95989:4718 102.96324:7853 103.9666:4175		60	65	56	92	93	90	90	3476	4718	7376	5480	1089	1305	1352	1201	208	155	195	193	56	77	72	68	89	88	60	65.25	55.875	92.875	89.9375	90.5	3476.3125	4718.0625	7375.625	5480.4375	1089.1875	1304.875	1351.9375	1200.8125	208.5	154.6875	195.4375	192.9375	56.25	76.875	71.5	67.875	88.875	88.125	0	0	0	0.707106781186548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0.534	102.01102	Unknown	[M+H]+		0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.98	blank_post	102.01102:1436 103.01437:95 104.01773:370		1436	222	213	174	294	268	263	3	16	8	34	3	26	65	22	27	3	14	12	12	10	4	7	10	9	1435.875	221.5	212.625	233.8125	267.625	263.3125	3	16.125	8.25	34.5	3	26.25	64.75	21.9375	27	3	14.25	11.75	12	10.125	4.5	6.75	10.5	9	0	0	0	85.2947554806273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	14.872	102.01205	Unknown	[M+H]+		0.16	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6.42	S03	102.01205:8329 103.0154:207 104.01876:208		6259	6385	6083	6871	7058	6663	6985	6640	6878	7278	7198	8329	6955	7261	6865	6984	6571	7218	6327	6784	6473	6396	7214	6519	6713	6259.125	6384.8125	6083	6964.8125	6662.9375	6984.875	6639.6875	6878.375	7277.75	7198.5	8329.4375	6955.125	7260.75	6864.9375	6984.5	6571.3125	7218	6327.25	6784.5	6472.5625	6396.125	7214.1875	6518.6875	6712.5625	0	0	0	132.052191386588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	6.676	102.01207	Unknown	[M+H]+		0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	7.43	S01	102.01207:4639 103.01542:60 104.01878:78		4318	4301	4035	4288	4510	4485	4696	4639	4311	4311	4591	3958	4220	4553	4271	4202	3905	4179	4259	4199	4415	4100	4442	4469	4367	4318.0625	4301.4375	4035.25	4398.96875	4485.3125	4696.4375	4638.6875	4310.9375	4310.6875	4590.75	3958.3125	4220.125	4552.625	4271.3125	4202.0625	3905.4375	4179.4375	4259.1875	4198.875	4414.6875	4100.1875	4441.5	4469.25	4367.4375	0	0	0	157.198676292534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	6.822	102.01217	Unknown	[M+H]+		0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6.6	S01	102.01217:4375 103.01552:91 104.01888:90		4223	4280	4135	4560	4360	4594	4568	4375	4657	4010	4443	4005	4048	4891	4336	4318	4004	4113	4124	4264	4073	4106	4124	4596	4412	4223.3125	4279.875	4135.0625	4459.90625	4593.5625	4568.375	4375.125	4657.125	4010.25	4443.375	4005.4375	4048	4891.125	4336.375	4317.875	4004.375	4112.75	4124.0625	4264.1875	4073.3125	4106.5	4124.375	4596.4375	4411.5625	0	0	0	141.730715454079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	8.996	102.01245	Unknown	[M+H]+		0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	9.1	S02	102.01245:5828 103.0158:114 104.01916:126		5981	6174	6161	6744	6636	7021	6593	5591	5479	5828	5588	5944	5623	5789	5781	6510	5850	6243	5560	6306	6304	6540	6223	6540	6516	5980.5625	6173.5	6161.3125	6690.1875	7020.8125	6593.4375	5591.375	5479.1875	5828.0625	5587.875	5944.375	5623.375	5788.75	5781.375	6510.4375	5849.9375	6243.375	5560.0625	6306.125	6303.875	6540	6223.375	6540.5	6516.0625	0	0	0	75.9255906299055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	9.927	102.01263	Unknown	[M+3H]3+	found in higher mz's MsMs_21	0.32	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	16.4	S02	102.01263:16462 103.01598:12747 104.01934:6371	102.12873:6	6928	6795	7011	7173	7530	7439	6795	11554	12139	16462	13531	8017	8141	8476	8858	7186	6365	7636	6732	7431	6896	7172	7374	7224	6981	6928.4375	6795.25	7010.5625	7351.375	7439.3125	6794.9375	11553.625	12138.6875	16461.5	13531.1875	8016.5625	8141.125	8476.25	8858.4375	7186.5	6365.3125	7635.6875	6732.5	7431.0625	6895.8125	7172.0625	7373.5	7223.6875	6980.5625	0	0	0	252.348732535949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0.538	102.05338	Unknown	[M+H]+		0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.23	S02	102.05338:1216 103.05673:277 104.06009:283822		80	267	271	299	265	258	307	82	88	1216	425	52	66	692	638	65	63	930	908	87	780	91	1239	83	1025	79.5625	267.375	271.3125	281.78125	258.1875	307.4375	82.4375	88.5	1216.3125	424.625	52.4375	65.75	691.75	638.3125	65.25	63.375	929.9375	907.6875	87.1875	779.5625	90.75	1239.25	82.875	1024.9375	0	0	0	24.3509897771117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	9.925	102.10626	Unknown	[M+H]+	ion correlated with 29; ion correlated with 22; ion correlated with 23; ion correlated with 34; ion correlated with 31; ion correlated with 13; ion correlated with 37; ion correlated with 24; ion correlated with 32	0.2	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	302.48	S02	102.10626:7256 103.10961:9177 104.11297:4838		8	16	15	24	36	15	14	4081	4257	7256	5907	1172	1241	1096	1559	126	126	164	166	19	17	13	18	21	13	7.5	15.75	15	30.1875	15	13.5	4081.125	4256.75	7255.8125	5907	1171.6875	1241.0625	1096.25	1558.5625	125.625	126.125	164.3125	166.25	19.125	17.25	13.125	18.375	20.625	12.75	0	0	0	8.22011633129362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	9.915	102.3175	Unknown	[M+H]+	ion correlated with 26; ion correlated with 29; ion correlated with 23; ion correlated with 34; ion correlated with 21; ion correlated with 13; ion correlated with 25; ion correlated with 37; ion correlated with 36; ion correlated with 24; ion correlated with 39; ion correlated with 40; ion correlated with 44; ion correlated with 28; ion correlated with 35	0.12	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	264.09	S02_2	102.3175:4021 103.32085:6286 104.32421:3255		3	0	4	0	3	3	3	2597	2971	4395	4021	593	645	1030	862	104	112	107	94	3	5	0	4	4	0	3	0	4.5	1.5	3	3	2597.3125	2971.375	4394.6875	4020.6875	592.875	644.8125	1030.125	861.8125	103.6875	111.875	106.875	93.75	3	5.25	0	4.5	4.5	0	0	0	0	2.12132034355964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	9.916	102.38294	Unknown	[M+H]+	ion correlated with 26; ion correlated with 29; ion correlated with 22; ion correlated with 34; ion correlated with 21; ion correlated with 13; ion correlated with 25; ion correlated with 37; ion correlated with 36; ion correlated with 24; ion correlated with 39; ion correlated with 40; ion correlated with 44; ion correlated with 28; ion correlated with 35; similar chromatogram in higher mz_45; similar chromatogram in higher mz_61	0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	363.37	S02_2	102.38294:4137 103.38629:5806 104.38965:3259		0	4	3	3	4	3	6	2698	3019	5181	4137	808	826	997	963	160	111	131	141	4	3	3	0	0	0	0	4.5	3	3.375	3	6	2697.6875	3019.4375	5181.4375	4136.75	808	826.125	996.875	962.75	160.125	111.375	131.125	140.6875	4.5	3	3	0	0	0	0	0	0	0.530330085889911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	9.937	102.40578	Unknown	[M+4H]4+	ion correlated with 26; ion correlated with 29; ion correlated with 22; ion correlated with 23; ion correlated with 34; ion correlated with 21; ion correlated with 13; ion correlated with 25; ion correlated with 37; ion correlated with 36; ion correlated with 39; ion correlated with 40; ion correlated with 44; ion correlated with 28; ion correlated with 35	0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	246.34	S01	102.40578:2625 103.40913:3595 104.41249:1669		0	0	3	3	3	0	3	2625	2820	5066	3592	784	732	546	530	122	95	106	111	3	3	0	3	3	3	0	0	3	3	0	3	2624.875	2820.375	5065.5	3591.6875	783.5	731.625	545.5625	530.1875	121.5	94.875	106.125	111.1875	3	3	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	9.931	102.43405	Unknown	[M+H]+	ion correlated with 26; ion correlated with 29; ion correlated with 22; ion correlated with 23; ion correlated with 34; ion correlated with 21; ion correlated with 13; ion correlated with 37; ion correlated with 36; ion correlated with 24; ion correlated with 39; ion correlated with 40; ion correlated with 44; ion correlated with 28; ion correlated with 35	0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	281.96	S01_2	102.43405:2766 103.4374:3260 104.44076:1580		5	5	4	3	3	3	3	2719	2766	4228	3551	600	667	670	708	82	83	120	87	3	3	4	6	4	3	5.25	5.25	3.75	3	3	3	2719.0625	2765.5	4227.9375	3550.75	599.625	667.4375	670.3125	708.0625	81.75	83.25	119.625	86.625	3	3	3.75	6	3.75	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	9.899	102.47381	Unknown	[M+H]+	ion correlated with 29; ion correlated with 22; ion correlated with 23; ion correlated with 34; ion correlated with 41; ion correlated with 21; ion correlated with 13; ion correlated with 25; ion correlated with 37; ion correlated with 36; ion correlated with 24; ion correlated with 39; ion correlated with 40; ion correlated with 44; ion correlated with 28	0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	298.15	S02_2	102.47381:3201 103.47716:4208 104.48052:3170		3	3	3	3	3	3	3	1982	2106	3802	3201	654	476	570	598	73	103	115	110	3	3	0	11	0	3	3	3	3	3	3	3	1981.5625	2105.8125	3802.0625	3200.6875	653.875	476.125	570.5	597.8125	73.125	103.125	114.875	110.25	3	3	0	11.25	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	9.965	102.54094	Unknown	[M+4H]4+	ion correlated with 12; ion correlated with 35	0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	286.8	S02	102.54094:2887 103.54429:4308 104.54765:2802		4	3	0	3	3	4	7	1377	1551	2887	1253	303	256	381	210	35	47	83	32	3	0	0	3	3	3	4.5	3	0	3	4.5	6.75	1377.125	1551.4375	2886.9375	1253.0625	302.5625	255.9375	380.6875	209.5	34.875	47.25	82.875	31.5	3	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	9.948	102.85546	Unknown	[M+H]+	ion correlated with 26; ion correlated with 29; ion correlated with 22; ion correlated with 23; ion correlated with 34; ion correlated with 42; ion correlated with 41; ion correlated with 21; ion correlated with 13; ion correlated with 25; ion correlated with 37; ion correlated with 36; ion correlated with 24; ion correlated with 39; ion correlated with 40; ion correlated with 44; ion correlated with 35; similar chromatogram in higher mz_32; similar chromatogram in higher mz_30; similar chromatogram in higher mz_35; similar chromatogram in higher mz_49; similar chromatogram in higher mz_60; similar chromatogram in higher mz_62	0.08	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	314.85	S02	102.85546:3612 103.85881:3685 104.86217:2041		3	3	3	3	0	3	0	1591	1989	3612	2778	444	534	699	924	91	62	138	114	3	0	0	0	3	3	3	3	3	1.5	3	0	1591.4375	1989.4375	3612.25	2777.8125	444.125	534.25	699	923.6875	90.625	62.25	138.125	113.8125	3	0	0	0	3	3	0	0	0	2.12132034355964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	9.913	102.88942	Unknown	[M+H]+	ion correlated with 26; ion correlated with 22; ion correlated with 23; ion correlated with 34; ion correlated with 53; ion correlated with 21; ion correlated with 13; ion correlated with 51; ion correlated with 25; ion correlated with 37; ion correlated with 36; ion correlated with 24; ion correlated with 39; ion correlated with 40; ion correlated with 44; ion correlated with 28; ion correlated with 49	0.08	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	328.08	S02_2	102.88942:4187 103.89277:3492 104.89613:2390		3	3	0	0	5	3	0	2562	3025	4966	4187	872	720	1599	1379	165	144	173	186	4	3	3	5	0	4	3	3	0	2.625	3	0	2562.1875	3025	4966.125	4187.4375	871.9375	720.25	1599.25	1379.125	165	143.625	173.4375	185.75	4.5	3	3	5.25	0	4.5	0	0	0	3.71231060122937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	9.934	102.9452	Unknown	[M+5H]5+	ion correlated with 31; ion correlated with 32; found in higher mz's MsMs_32	0.12	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	57.36	S02	102.9452:8974 103.94855:5244 104.95191:1914		291	364	342	465	386	441	372	5357	5608	8974	7439	3176	2493	3118	4180	1032	901	1230	1008	337	428	382	377	371	349	291.125	364.375	341.625	425.25	440.6875	372.0625	5356.5625	5608.375	8974.4375	7439.0625	3175.625	2493.0625	3117.9375	4179.6875	1031.875	900.75	1229.625	1008.3125	337.1875	427.6875	382.3125	377	370.8125	348.5625	0	0	0	55.9498240613856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	9.923	102.98633	Unknown	[M+3H]3+	ion correlated with 30; ion correlated with 32	0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	49.76	S04	102.98633:3303 103.98968:3100 104.99304:1316		3	5	5	3	0	3	5	5311	5913	9156	8401	2424	2393	3303	3267	366	341	495	524	6	3	8	3	5	8	3	5.25	5.25	1.5	3	5.25	5311.3125	5912.6875	9155.8125	8401.25	2423.6875	2393.1875	3303.125	3266.875	366.3125	341.125	494.625	523.6875	6	3	8.25	3	5.25	7.5	0	0	0	2.12132034355964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
